almaMmsId	rpbId	hbzId	zdbId
990056622440206441	RPB036t980777	HT009971760	1446708-2
990108068430206441	RPB036t001125	HT012654290	1398404-4
990107329000206441	RPB036t980900	HT012580347	1294697-7
990107631770206441	RPB036t980918	HT012610624	1339048-X
990108042640206441	RPB036t980924	HT012651711	1395052-6
990159848000206441	RPB036t980990	HT015277806	1413668-5
990107596850206441	RPB036t000339	HT012607132	1334405-5
990108573780206441	RPB036t981107	HT012704825	1462469-2
990108455470206441	RPB036t981154	HT012692994	1447201-6
990104992800206441	RPB036t981170	HT012346727	919149-5
990056585940206441	RPB036t981308	HT009239375	1451379-1
990055639280206441	RPB036t981316	HT007006361	725004-6
990108445900206441	RPB036t981318	HT012692037	1445905-X
990108024150206441	RPB036t981412	HT012649862	1392743-7
990108306810206441	RPB036t990032	HT012678128	1428472-8
990108651800206441	RPB036t990033	HT012712627	1472929-5
990056246550206441	RPB929t972207	HT007192954	1294115-3
990104974350206441	RPB036t930905	HT012344882	917002-9
990108458150206441	RPB036t070705	HT012693262	1447596-0
990108721080206441	RPB036t990246	HT012719555	1481885-1
990108705140206441	RPB036t990247	HT012717961	1479941-8
990108705170206441	RPB036t990248	HT012717964	1479944-3
990108876190206441	RPB036t990249	HT012735066	1500285-8
990107519580206441	RPB036t990301	HT012599405	1324050-X
990056489820206441	RPB036t000941	HT008275457	1411287-5
990054903880206441	RPB036t990630	HT006921169	244679-0
990113043300206441	RPB036t990691	HT012977266	2000694-9
990056451160206441	RPB036t990774	HT007960303	1403987-4
990113106090206441	RPB036t990803	HT012983545	2007284-3
990107652900206441	RPB036t990908	HT012612737	1341699-6
990107537500206441	RPB036t990909	HT012601197	1326498-9
990101927210206441	RPB036t990932	HT012040168	27593-1
990108520690206441	RPB036t990933	HT012699516	1455445-8
990113060860206441	RPB036t990934	HT012979022	2002565-8
990108068430206441	RPB036t001125	HT012654290	1398404-4
990054814080206441	RPB036t990956	HT006908647	206229-X
990056222280206441	RPB036t990998	HT007076081	1293314-4
990113177600206441	RPB036t991006	HT012990696	2014788-0
990101071450206441	RPB036t991007	HT011210690	2000097-2
990108875720206441	RPB036t991008	HT012735019	1500226-3
990113146130206441	RPB036t991014	HT012987549	2011492-8
990113138010206441	RPB036t991019	HT012986737	2010647-6
990108704620206441	RPB036t991036	HT012717909	1479866-9
990176236570206441	RPB036t991038	TT002892583	
990113153240206441	RPB036t991084	HT012988260	2012236-6
990107249730206441	RPB036t991272	HT012572420	1283648-5
990056216810206441	RPB036t991355	HT007075484	1289462-X
990056365360206441	RPB036t991376	HT007472126	1309981-4
990056053550206441	RPB036t921056	HT007056734	1133845-3
990056666590206441	RPB036t991418	HT010614094	1475970-6
990113342620206441	RPB036t991421	HT013007300	2021194-6
990056285750206441	RPB036t991435	HT007223334	1329019-8
990113271380206441	RPB036t991474	HT013000148	2016214-5
990113500110206441	RPB107t001682	HT013023098	2031158-8
990113561360206441	RPB107t001687	HT013029247	2034832-0
990113561540206441	RPB107t001688	HT013029265	2034851-4
990113561630206441	RPB107t001689	HT013029274	2034860-5
990113492600206441	RPB107t001693	HT013022347	2030397-X
990106992490206441	RPB107t001754	HT012546696	1239822-6
990107275630206441	RPB107t001758	HT012575010	1287476-0
990108839500206441	RPB107t001789	HT012731397	1495788-7
990113092480206441	RPB107t001790	HT012982184	2005854-8
990113067610206441	RPB107t001791	HT012979697	2003275-4
990113092450206441	RPB107t001792	HT012982181	2005851-2
990113561680206441	RPB107t001794	HT013029279	2034865-4
990113077690206441	RPB107t001795	HT012980705	2004320-X
990113423740206441	RPB107t001797	HT013015436	2025672-3
990113633550206441	RPB107t001798	HT013036469	2041220-4
990113560880206441	RPB107t001799	HT013029199	2034779-0
990108742340206441	RPB107t001801	HT012721681	1484462-X
990113643450206441	RPB107t001809	HT013037459	2042249-0
990113632290206441	RPB107t001852	HT013036343	2041091-8
990113136350206441	RPB107t001856	HT012986571	2010473-X
990113643540206441	RPB107t001858	HT013037468	2042259-3
990102644690206441	RPB107t001865	HT012111916	239073-5
990113183160206441	RPB107t001868	HT012991252	2015367-3
990106461370206441	RPB107t01014565	HT012493584	1169651-5
990113610550206441	RPB107t001871	HT013034169	2038851-2
990113612520206441	RPB107t001872	HT013034366	2039051-8
990108880930206441	RPB107t001895	HT012735540	1500854-X
990113100360206441	RPB107t001896	HT012982972	2006686-7
990113385990206441	RPB107t001897	HT013011655	2023126-X
990113093640206441	RPB107t001898	HT012982300	2005974-7
990113507540206441	RPB107t001899	HT013023841	2031928-9
990113673440206441	RPB107t001901	HT013040458	2045346-2
990113561450206441	RPB107t001913	HT013029256	2034841-1
990113094660206441	RPB107t001945	HT012982402	2006087-7
990113457890206441	RPB107t001950	HT013018866	2027831-7
990108499280206441	RPB107t001951	HT012697375	1452810-1
990113673670206441	RPB107t001961	HT013040481	2045369-3
990056684980206441	RPB107t001965	HT010840528	1303432-7
990108878020206441	RPB107t001973	HT012735249	1500500-8
990113077860206441	RPB107t001975	HT012980722	2004338-7
990056629700206441	RPB107t981829	HT010080518	1361175-6
990113561510206441	RPB107t001977	HT013029262	2034847-2
990113237790206441	RPB107t001983	HT012996765	2023537-9
990113170400206441	RPB107t001984	HT012989976	2014029-0
990108862810206441	RPB107t001987	HT012733728	1498634-6
990108850350206441	RPB107t001988	HT012732482	1497101-X
990108878580206441	RPB107t001989	HT012735305	1500585-9
990056684820206441	RPB107t001993	HT010840509	915470-X
990108876180206441	RPB107t001996	HT012735065	1500284-6
990102536580206441	RPB107t002004	HT012101105	206950-7
990113099500206441	RPB107t002006	HT012982886	2006598-X
990108722750206441	RPB107t002007	HT012719722	1482067-5
990108629690206441	RPB107t002008	HT012710416	1469940-0
990113475350206441	RPB107t002009	HT013020622	2028612-0
990056619780206441	RPB107t002010	HT009855678	1460219-2
990113472270206441	RPB107t002017	HT013020314	2028298-9
990108841820206441	RPB107t002019	HT012731629	1496099-0
990108797060206441	RPB107t982937	HT012727153	1490361-1
990106436130206441	RPB107t941229	HT012491060	1166569-5
990105934760206441	RPB107t002033	HT012440923	1100043-0
990108640790206441	RPB107t002034	HT012711526	1471432-2
990108641020206441	RPB107t002035	HT012711549	1471457-7
990108700480206441	RPB107t002038	HT012717495	1479287-4
990108793820206441	RPB107t002039	HT012726829	1489981-4
990104084890206441	RPB107t002041	HT012255936	726360-0
990108714270206441	RPB107t002136	HT012718874	1481050-5
990107426410206441	RPB107t973124	HT012590088	1310856-6
990107377090206441	RPB107t002269	HT012585156	1304549-0
990108521540206441	RPB107t01000001	HT012699601	1455560-8
990139626220206441	RPB107t01000038	HT014518948	2205757-2
990103816850206441	RPB107t01000042	HT012229132	573697-3
990107260110206441	RPB107t01000061	HT012573458	1285221-1
990108763960206441	RPB107t01000202	HT012723843	1486941-X
990056564510206441	RPB107t01001388	HT009053870	1105198-X
990108046600206441	RPB107t01003204	HT012652107	1395572-X
990102568800206441	RPB107t01003431	HT012104327	223600-X
990141092200206441	RPB107t01006765	TT001204986	
990103059800206441	RPB107t01009500	HT012153427	341791-8
990106782900206441	RPB107t01009840	HT012525737	1211855-2
990106648990206441	RPB107t01013195	HT012512346	1193897-3
990102559440206441	RPB107t01013267	HT012103391	218702-4
990054827080206441	RPB107t01013294	HT006910418	210708-9
990104085040206441	RPB107t01013951	HT012255951	726378-8
990113992560206441	RPB107t01013963	HT013072587	2050656-9
990107443980206441	RPB107t01013971	HT012591845	1313144-8
990113633530206441	RPB107t01013980	HT013036467	2041218-6
990102707620206441	RPB107t01013994	HT012118209	254404-0
990104074080206441	RPB107t01014023	HT012254855	725067-8
990104078810206441	RPB107t01014024	HT012255328	725659-0
990121048960206441	RPB107t01014049	HT013784264	2118406-9
990113317120206441	RPB107t01014057	HT013004750	2018526-1
990104085480206441	RPB107t01014061	HT012255995	726438-0
990113531090206441	RPB107t01014072	HT013026210	2033099-6
990113564770206441	RPB107t01014075	HT013029588	2035188-4
990055859300206441	RPB107t01014102	HT007033675	1016991-X
990055498410206441	RPB107t01014113	HT006990082	629755-9
990104074090206441	RPB107t01014122	HT012254856	725068-X
990113507970206441	RPB107t01014153	HT013023884	2031972-1
990118809060206441	RPB107t01014159	HT013557566	2096378-6
990105756930206441	RPB107t01014167	HT012423140	1074926-3
990119628200206441	RPB107t01014171	HT013640462	2105756-4
990104073900206441	RPB107t01014178	HT012254837	725036-8
990116271750206441	RPB107t01014179	HT013302470	2071487-7
